

|Vertice|TD	|TT	|Pai
|   1	|2	|59	|5
|   5	|1	|60	|
|   3	|3	|58	|1
|   30	|15	|16	|2
|   2	|14	|17	|7
|   7	|13	|18	|8
|   8	|12	|19	|10
|   10	|11	|50	|9
|   11	|20	|49	|10
|   13	|21	|48	|11
|   20	|22	|35	|13
|   25	|23	|34	|20
|   26	|24	|33	|25
|   24	|25	|32	|26
|   21	|26	|27	|24
|   23	|28	|31	|24
|   17	|29	|30	|23
|   12	|36	|47	|13
|   16	|37	|46	|12
|   9	|10	|51	|6
|   6	|9	|52	|18
|   4	|4	|55	|3
|   29	|56	|57	|3
|   28	|5	|6	|4
|   14	|7	|54	|4
|   18	|8	|53	|14
|   15	|43	|44	|19
|   22	|38	|41	|16
|   27	|39	|40	|22
|   19	|42	|45	|16
